time,cwnd
1.17e-07,1
0.0526089,2
0.104215,3
0.158412,4
0.212685,5
0.365159,5
0.416476,6
0.469824,6.16667
0.5224,6.33333
0.573909,6.5
0.62549,6.66667
0.676593,6.83333
0.733841,7
0.790017,7.14286
0.8417,7.28571
0.892567,7.42857
0.943485,7.57143
0.994467,7.71429
1.04517,7.85714
1.09611,8
1.14648,8.125
1.19705,8.25
1.2474,8.375
1.29827,8.5
1.34938,8.625
1.4005,8.75
1.45328,8.875
1.50201,9
1.55306,9.11111
1.60289,9.22222
1.66156,9.33333
1.71323,9.44444
1.76732,9.55556
1.81769,9.66667
1.87028,9.77778
1.93066,9.88889
1.995,10
2.04693,10.1
2.102,10.2
2.15441,10.3
2.20614,10.4
2.26133,10.5
2.31259,10.6
2.36728,10.7
2.41514,10.8
2.46683,10.9
2.51622,11
2.56786,11.1
2.62037,11.1909
2.6716,11.2818
2.72266,11.3727
2.77423,11.4636
2.82857,11.5545
2.90058,11.6455
2.95693,11.7364
3.05539,11.8273
3.1063,11.9182
3.15877,12.0091
3.21071,12.0924
3.26286,12.1758
3.31358,12.2591
3.37563,12.3424
3.43136,12.4258
3.51209,12.5091
3.56866,12.5924
3.62525,12.6758
3.67556,12.7591
3.73595,12.8424
3.78854,12.9258
3.84154,13.0091
3.89374,13.086
3.94338,13.1629
3.99469,13.2399
4.04686,13.3168
4.09962,13.3937
4.15191,13.4706
4.20386,13.5476
4.25559,13.6245
4.30618,13.7014
4.3582,13.7783
4.4095,13.8552
4.4672,13.9322
4.51712,14.0091
4.56765,14.0805
4.61813,14.1519
4.67335,14.2234
4.73417,14.2948
4.7854,14.3662
4.8398,14.4377
4.89657,14.5091
4.94241,14.5805
4.99323,14.6519
5.04468,14.7234
5.09471,14.7948
5.14863,14.8662
5.1996,14.9377
5.35647,10
5.40539,11
5.45556,12
5.50857,13
5.56016,14
5.61274,15
5.66284,16
5.71482,17
5.76318,18
5.81394,19
5.8653,20
5.91672,20.05
5.96803,20.1
6.01905,20.15
6.0716,20.2
6.12162,20.25
6.17218,20.3
6.22326,20.35
6.27662,20.4
6.32627,20.45
6.37892,20.5
6.42877,20.55
6.48254,20.6
6.53416,20.65
6.58552,20.7
6.63784,20.75
6.68963,20.8
6.73957,20.85
6.79123,20.9
6.84311,20.95
6.89953,21
6.95127,21.0476
7.00493,21.0952
7.05619,21.1429
7.10792,21.1905
7.15915,21.2381
7.20991,21.2857
7.28517,21.3333
7.3419,21.381
7.39943,21.4286
7.55314,13
7.60371,14
7.65473,15
7.70601,16
7.76082,17
7.80816,18
7.85957,19
7.91026,20
7.96121,21
8.01182,22
8.06485,23
8.11505,24
8.16553,25
8.21702,26
8.26747,27
8.32049,28
8.37866,29
8.42946,30
8.48293,31
8.53576,32
8.55651,1
8.69203,4
8.74205,5
8.7936,6
8.84334,7
8.89639,8
8.94536,9
8.99741,10
9.04797,11
9.10162,12
9.15268,13
9.20261,13.0769
9.30463,13.1538
9.35551,13.2308
9.40862,13.3077
9.45857,13.3846
9.51129,13.4615
9.56104,13.5385
9.61286,13.6154
9.6649,13.6923
9.71696,13.7692
9.76684,13.8462
9.81962,13.9231
9.86861,14
9.92083,14.0769
9.97281,14.1484
10.1232,10
10.1728,11
10.2258,12
10.2752,13
10.3263,14
10.3799,15
10.4309,16
10.4831,17
10.5318,18
10.5835,19
10.6341,20
10.6865,20.05
10.7419,20.1
10.7954,20.15
10.8461,20.2
10.8978,20.25
10.9485,20.3
11.0035,20.35
11.0548,20.4
11.1082,20.45
11.16,20.5
11.2113,20.55
11.2631,20.6
11.3135,20.65
11.3656,20.7
11.4171,20.75
11.4664,20.8
11.5176,20.85
11.5681,20.9
11.6199,20.95
11.6709,21
11.8253,13
11.8781,14
11.9313,15
11.9826,16
12.0352,17
12.0878,18
12.1408,19
12.2028,20
12.2468,21
12.3065,22
12.3588,23
12.4301,24
12.4736,25
12.5309,26
12.5822,27
12.6341,28
12.6868,29
12.7393,29.0345
12.8085,29.069
12.8584,29.1034
12.9109,29.1379
12.9645,29.1724
13.0129,29.2069
13.0697,29.2414
13.1329,29.2759
13.198,29.3103
13.2526,29.3448
13.3189,29.3793
13.3711,29.4138
13.4223,29.4483
13.4846,29.4828
13.5395,29.5172
13.5948,29.5517
13.6534,29.5862
13.7028,29.6207
13.7533,29.6552
13.8036,29.6897
13.8577,29.7241
13.9139,29.7586
13.9648,29.7931
14.1215,17
14.1833,18
14.2379,19
14.2956,20
14.3466,21
14.3986,22
14.4526,23
14.5049,24
14.5545,25
14.6053,26
14.6582,27
14.7095,28
14.7688,29
14.823,30
14.869,31
14.9305,32
14.9811,33
15.0349,33.0303
15.0873,33.0606
15.1554,33.0909
15.2218,33.1212
15.2834,33.1515
15.3268,33.1818
15.379,33.2121
15.4324,33.2424
15.4858,33.2727
15.6106,33.303
15.6252,33.3333
15.7026,33.3636
15.768,33.3939
15.8329,33.4242
15.8808,33.4545
15.9339,33.4848
15.9907,33.5152
16.0428,33.5455
16.0945,33.5758
16.1777,33.6061
16.2267,33.6364
16.3925,19
16.4454,20
16.4933,21
16.5445,22
16.5962,23
16.6475,24
16.7028,25
16.7555,26
16.8074,27
16.8661,28
16.9136,29
16.9631,30
17.0225,31
17.0676,32
17.1181,33
17.1726,34
17.2246,34.0294
17.3879,20
17.4412,21
17.5133,22
17.5658,23
17.6158,24
17.6691,25
17.7186,26
17.7724,27
17.824,28
17.8748,29
17.9283,30
17.9787,31
18.0331,32
18.0805,33
18.1371,34
18.1908,35
18.2684,36
18.3015,36.0278
18.3588,36.0556
18.4109,36.0833
18.4776,36.1111
18.5313,36.1389
18.5833,36.1667
18.6336,36.1944
18.6919,36.2222
18.7476,36.25
18.8003,36.2778
18.8522,36.3056
18.9052,36.3333
18.9564,36.3611
19.0175,36.3889
19.0834,36.4167
19.1378,36.4444
19.1902,36.4722
19.2555,36.5
19.3128,36.5278
19.3658,36.5556
19.4188,36.5833
19.4714,36.6111
19.5322,36.6389
19.5942,36.6667
19.6457,36.6944
19.7003,36.7222
19.7558,36.75
19.8142,36.7778
19.9661,21
20.0162,22
20.0686,23
20.1194,24
20.171,25
20.2216,26
20.2729,27
20.3344,28
20.3889,29
20.4479,30
20.5006,31
20.5632,32
20.6132,33
20.6733,34
20.7285,35
20.7832,35.0286
20.8385,35.0571
20.8894,35.0857
20.9424,35.1143
21.1008,20
21.1699,21
21.2208,22
21.2773,23
21.3343,24
21.3836,25
21.437,26
21.5004,27
21.5471,28
21.5988,29
21.6489,30
21.706,31
21.7628,32
21.8063,33
21.8582,34
21.9093,35
21.9719,36
22.0224,36.0278
22.0756,36.0556
22.1269,36.0833
22.1794,36.1111
22.2333,36.1389
22.2854,36.1667
22.3388,36.1944
22.3899,36.2222
22.4477,36.25
22.5022,36.2778
22.5599,36.3056
22.6141,36.3333
22.6676,36.3611
22.7225,36.3889
22.7764,36.4167
22.8307,36.4444
22.8775,36.4722
22.9318,36.5
22.9918,36.5278
23.0385,36.5556
23.0964,36.5833
23.1469,36.6111
23.1979,36.6389
23.2593,36.6667
23.3103,36.6944
23.3614,36.7222
23.4189,36.75
23.4714,36.7778
23.6265,21
23.6799,22
23.7353,23
23.7835,24
23.8416,25
23.8923,26
23.9444,27
23.9991,28
24.0529,29
24.1035,30
24.1547,31
24.207,32
24.2638,33
24.3154,34
24.3778,35
24.4551,36
24.4895,36.0278
24.5388,36.0556
24.5977,36.0833
24.6518,36.1111
24.7044,36.1389
24.7598,36.1667
24.8112,36.1944
24.8622,36.2222
24.9174,36.25
24.9746,36.2778
25.1309,21
25.185,22
25.2382,23
25.2937,24
25.3522,25
25.3987,26
25.4479,27
25.4998,28
25.5509,29
25.6126,30
25.6604,31
25.7136,32
25.7657,33
25.8212,34
25.8773,35
25.9308,36
25.9831,36.0278
26.0349,36.0556
26.0875,36.0833
26.1455,36.1111
26.1964,36.1389
26.2497,36.1667
26.3019,36.1944
26.3553,36.2222
26.4082,36.25
26.46,36.2778
26.5118,36.3056
26.5638,36.3333
26.6174,36.3611
26.6699,36.3889
26.731,36.4167
26.7813,36.4444
26.9342,21
26.9845,22
27.0383,23
27.0884,24
27.1391,25
27.1913,26
27.2423,27
27.293,28
27.3457,29
27.3988,30
27.4491,31
27.4997,32
27.5492,33
27.6005,34
27.6502,35
27.7056,36
27.7558,37
27.8061,37.027
27.8566,37.0541
27.9147,37.0811
27.9682,37.1081
28.0197,37.1351
28.0691,37.1622
28.124,37.1892
28.174,37.2162
28.2245,37.2432
28.2743,37.2703
28.3254,37.2973
28.3771,37.3243
28.4303,37.3514
28.4847,37.3784
28.5387,37.4054
28.5892,37.4324
28.6413,37.4595
28.6926,37.4865
28.742,37.5135
28.793,37.5405
28.8425,37.5676
28.8931,37.5946
28.9462,37.6216
29.0033,37.6486
29.0544,37.6757
29.1091,37.7027
29.1658,37.7297
29.2165,37.7568
29.2675,37.7838
29.3204,37.8108
29.3711,37.8378
29.5218,21
29.5728,22
29.6237,23
29.6779,24
29.7287,25
29.7809,26
29.8323,27
29.8905,28
29.9432,29
29.9945,30
30.0471,31
30.101,32
30.1482,33
30.2027,34
30.2521,35
30.3129,36
30.3587,36.0278
30.4265,36.0556
30.4785,36.0833
30.5304,36.1111
30.5812,36.1389
30.7412,21
30.793,22
30.8436,23
30.9061,24
30.9559,25
31.0101,26
31.0626,27
31.116,28
31.1659,29
31.2263,30
31.2791,31
31.335,32
31.3848,33
31.4474,34
31.5047,35
31.5516,36
31.6035,37
31.6565,37.027
31.7107,37.0541
31.7746,37.0811
31.8307,37.1081
31.8812,37.1351
31.9338,37.1622
31.9873,37.1892
32.1426,21
32.2098,22
32.2476,23
32.2988,24
32.3559,25
32.4085,26
32.4596,27
32.5098,28
32.5622,29
32.6186,30
32.6789,31
32.7308,32
32.7876,33
32.8394,34
32.8898,35
