time,cwnd
1.03e-07,1
0.00236711,2
1.00331,1
1.00982,2
1.01106,2.5
1.01111,3
1.01235,3.33333
1.01239,3.66667
1.01239,4
1.0135,4.25
1.01354,4.5
1.01357,4.75
1.01357,5
1.01552,5.2
1.01556,5.4
1.01557,5.6
1.01557,5.8
1.01557,6
1.0171,6.16667
1.01719,6.33333
1.01719,6.5
1.0172,6.66667
1.0172,6.83333
1.0172,7
1.01887,7.14286
1.02012,7.28571
1.02016,7.42857
1.02017,7.57143
1.02017,7.71429
1.02017,7.85714
1.02018,8
1.02018,8.125
1.0213,8.25
1.02131,8.375
1.02132,8.5
1.02132,8.625
1.02132,8.75
1.02133,8.875
2.02208,1
2.02516,2
2.02716,3
2.02718,4
2.02918,4.25
2.0292,4.5
2.0292,4.75
2.0292,5
2.03028,5.2
2.03029,5.4
2.03029,5.6
2.0303,5.8
2.0303,6
2.03156,6.16667
2.03157,6.33333
2.03157,6.5
2.03158,6.66667
2.03158,6.83333
2.03158,7
2.03276,7.14286
2.03276,7.28571
2.03277,7.42857
2.03277,7.57143
2.03277,7.71429
2.03278,7.85714
2.03278,8
2.03401,8.125
2.03402,8.25
2.03402,8.375
2.03402,8.5
2.03402,8.625
2.03403,8.75
2.03533,8.875
2.03534,9
2.03544,9.11111
2.03544,9.22222
2.03678,9.33333
2.03679,9.44444
2.03679,9.55556
2.0368,9.66667
2.0368,9.77778
2.0368,9.88889
2.03681,10
2.03681,10.1
2.03688,10.2
2.03812,10.3
2.03857,10.4
2.03858,10.5
2.03859,10.6
2.03859,10.7
2.03876,10.8
2.03877,10.9
2.03877,11
2.03878,11.1
2.03878,11.1909
2.04002,11.2818
2.04003,11.3727
2.04003,11.4636
2.04004,11.5545
2.04004,11.6455
2.04004,11.7364
2.04263,11.8273
2.04268,11.9182
2.04269,12.0091
2.04269,12.0924
2.0427,12.1758
2.0427,12.2591
2.0427,12.3424
2.0427,12.4258
2.04271,12.5091
2.04271,12.5924
2.04278,12.6758
3.04316,1
3.04854,2
3.04969,3
3.04973,4
4.05064,1
4.05296,2
4.05413,2.5
4.05417,3
4.05529,3.33333
4.05533,3.66667
4.05534,4
5.05594,1
5.05827,2
5.05967,2.5
5.05969,3
5.06097,3.33333
5.06099,3.66667
5.06099,4
5.06216,4.25
5.06217,4.5
5.06218,4.75
5.06218,5
5.06327,5.2
5.06329,5.4
5.06329,5.6
5.06329,5.8
5.06329,6
5.06446,6.16667
5.06447,6.33333
5.06447,6.5
5.06448,6.66667
5.06448,6.83333
6.06606,1
6.0692,2
6.07044,3
6.07049,3.33333
6.07247,3.66667
6.07251,4
6.07252,4.25
6.07356,4.5
6.0736,4.75
6.0736,5
6.07361,5.2
6.07498,5.4
6.07499,5.6
6.07503,5.8
6.07503,6
6.07629,6.16667
6.07634,6.33333
6.07634,6.5
6.07635,6.66667
6.07635,6.83333
6.07635,7
6.07755,7.14286
6.07759,7.28571
6.07801,7.42857
6.07805,7.57143
7.07853,1
7.08171,2
7.08283,3
7.08297,3.33333
7.08494,3.66667
7.08498,4
7.08498,4.25
7.08628,4.5
7.08631,4.75
7.08632,5
7.08632,5.2
7.08758,5.4
7.08762,5.6
7.08763,5.8
7.08763,6
7.08763,6.16667
7.08881,6.33333
7.08885,6.5
7.08886,6.66667
7.08886,6.83333
7.08886,7
7.08887,7.14286
7.09002,7.28571
7.09003,7.42857
7.09004,7.57143
7.09004,7.71429
7.09004,7.85714
7.09109,8
7.09113,8.125
7.09113,8.25
7.09113,8.375
7.09114,8.5
7.09114,8.625
8.09201,1
9.09516,1
9.09863,2
9.10026,2.5
9.10029,3
9.10152,3.33333
9.10153,3.66667
9.10153,4
9.10301,4.25
9.10302,4.5
9.10303,4.75
9.10303,5
9.10434,5.2
9.10436,5.4
9.10436,5.6
9.10437,5.8
9.10437,6
9.10575,6.16667
9.10577,6.33333
10.107,1
10.1097,2
11.1112,1
11.1143,2
11.1155,2.5
11.1155,3
12.1165,1
12.1235,2
13.1279,1
13.1308,2
13.1344,2.5
13.1344,3
13.1367,3.33333
14.1706,1
14.2037,2
14.2369,2.5
14.2574,3
14.2735,3.33333
14.3113,3.66667
14.3114,4
14.3114,4.25
14.3195,4.5
14.3195,4.75
14.3197,5
14.3214,5.2
14.3369,5.4
14.3369,5.6
14.337,5.8
14.3421,6
14.3441,6.16667
14.3732,6.33333
14.3806,6.5
14.3876,6.66667
14.3945,6.83333
14.3967,7
14.3967,7.14286
14.3985,7.28571
14.399,7.42857
14.4021,7.57143
14.4022,7.71429
14.4057,7.85714
14.409,8
14.4185,8.125
14.4201,8.25
14.4245,8.375
15.4354,1
15.4533,2
15.4711,3
16.4749,1
16.4792,2
16.4818,2.5
16.4852,3
16.4856,3.33333
16.4893,3.66667
16.5085,4
16.5085,4.25
16.5085,4.5
16.5191,4.75
16.5191,5
17.5207,1
17.5308,2
17.5321,2.5
17.5324,3
17.5326,3.33333
17.5484,3.66667
17.5485,4
17.5486,4.25
17.5571,4.5
17.5572,4.75
17.6083,5
17.6157,5.2
17.6157,5.4
17.6157,5.6
17.6158,5.8
17.6158,6
17.6544,6.16667
17.6545,6.33333
17.6545,6.5
17.6545,6.66667
17.6545,6.83333
17.6567,7
17.6592,7.14286
17.6592,7.28571
17.6622,7.42857
17.6682,7.57143
17.6702,7.71429
17.6777,7.85714
18.6778,1
18.6849,2
18.6878,3
18.6962,3.33333
18.6963,3.66667
18.6963,4
18.6989,4.25
18.6993,4.5
18.7035,4.75
18.7059,5
18.7198,5.2
18.7312,5.4
18.7313,5.6
18.7356,5.8
18.7391,6
18.7392,6.16667
18.7392,6.33333
18.7392,6.5
18.7397,6.66667
18.7457,6.83333
18.7457,7
18.7458,7.14286
18.753,7.28571
18.7534,7.42857
19.7637,1
20.7706,1
20.7759,2
20.7813,2.5
20.7814,3
20.7866,3.33333
20.7866,3.66667
20.7897,4
20.7965,4.25
20.7985,4.5
21.7994,1
21.8058,2
21.8087,2.5
21.8123,3
21.8187,3.33333
21.8245,3.66667
21.8245,4
21.8268,4.25
21.8269,4.5
21.8269,4.75
21.8349,5
21.846,5.2
21.8484,5.4
21.8485,5.6
21.8498,5.8
21.8498,6
21.8499,6.16667
21.8499,6.33333
21.8499,6.5
