time,cwnd
1.09e-07,1
0.101223,2
0.20365,3
0.304344,4
0.404695,5
1.40537,1
1.50887,2
1.61177,2.5
1.71214,3
1.81511,3.33333
1.91781,3.66667
2.93481,1
3.04123,2
3.1437,2.5
3.24396,3
3.34556,3.33333
3.44633,3.66667
3.54928,4
3.65188,4.25
3.75622,4.5
3.85762,4.75
3.95813,5
4.0607,5.2
4.16148,5.4
5.16183,1
5.27028,2
5.37623,2.5
6.38285,1
6.49307,2
6.61135,2.5
6.70813,3
6.81211,3.33333
6.91484,3.66667
7.01837,4
7.14185,4.25
7.24082,4.5
7.36492,4.75
8.36612,1
9.37295,1
9.4889,2
9.5956,2.5
9.69816,3
9.80556,3.33333
9.9112,3.66667
10.0144,4
10.1177,4.25
11.1185,1
12.1248,1
12.2543,2
13.2584,1
13.3776,2
14.3791,1
14.5048,2
14.6106,2.5
14.713,3
14.8134,3.33333
14.9154,3.66667
15.9225,1
16.9265,1
17.0316,2
17.1421,2.5
17.2414,3
17.343,3.33333
17.4454,3.66667
18.4738,1
18.6007,2
18.7235,2.5
18.8239,3
18.9287,3.33333
19.0353,3.66667
19.1378,4
20.1393,1
20.2502,2
20.3576,2.5
20.48,3
21.4802,1
21.5982,2
21.701,2.5
21.8107,3
21.9701,3.33333
22.0717,3.66667
22.1748,4
22.28,4.25
22.4115,4.5
22.5131,4.75
22.6258,5
22.7196,5.2
22.824,5.4
22.9281,5.6
23.0324,5.8
23.1329,6
23.2372,6.16667
24.2392,1
24.3481,2
24.4526,3
25.4551,1
25.5605,2
26.5638,1
26.6691,2
26.7748,2.5
26.8766,3
26.9816,3.33333
27.0848,3.66667
27.1867,4
28.1883,1
28.296,2
29.2973,1
29.4219,2
29.5245,2.5
29.6258,3
29.7269,3.33333
29.8298,3.66667
29.9312,4
30.0326,4.25
31.0528,1
31.1844,2
31.3483,2.5
31.4066,3
31.5241,3.33333
31.6315,3.66667
31.7629,4
31.8414,4.25
31.9447,4.5
32.0417,4.75
33.0428,1
33.1497,2
33.2553,2.5
33.3597,3
33.4852,3.33333
34.4919,1
34.5987,2
35.5995,1
36.6244,1
36.7505,2
36.8713,2.5
36.9732,3
37.974,1
38.0836,2
39.0902,1
39.1948,2
39.2967,2.5
39.3989,3
40.3999,1
40.5126,2
40.6379,2.5
40.7297,3
40.8395,3.33333
40.9417,3.66667
41.0438,4
41.1461,4.25
42.1592,1
42.2741,2
43.2763,1
43.3968,2
44.4282,1
45.4372,1
45.5445,2
45.6495,2.5
45.7574,3
46.7761,1
46.9009,2
47.9051,1
48.0223,2
48.1312,2.5
48.239,3
48.3473,3.33333
48.4811,3.66667
48.6214,4
48.7188,4.25
48.8258,4.5
48.9659,4.75
49.9669,1
50.0998,2
51.1014,1
51.2086,2
51.3143,2.5
51.4208,3
51.5219,3.33333
51.6231,3.66667
51.732,4
51.8358,4.25
51.9401,4.5
52.042,4.75
52.1444,5
52.2472,5.2
53.2511,1
54.259,1
54.3682,2
55.3689,1
55.4733,2
55.5814,2.5
55.6822,3
55.8226,3.33333
55.9252,3.66667
56.0278,4
57.0295,1
58.0327,1
58.1497,2
58.2541,2.5
58.3606,3
58.4664,3.33333
59.4665,1
60.4714,1
60.5825,2
60.6863,2.5
60.7986,3
60.8983,3.33333
61.0078,3.66667
61.1102,4
61.2123,4.25
61.3144,4.5
61.4172,4.75
61.5208,5
61.6258,5.2
62.6272,1
63.6389,1
63.7477,2
64.7489,1
64.8541,2
64.9639,2.5
65.0665,3
65.1686,3.33333
65.2694,3.66667
65.3732,4
65.4819,4.25
66.4843,1
66.655,2
66.7639,2.5
66.8806,3
67.8821,1
68.8927,1
69.0015,2
69.1252,2.5
69.2225,3
69.3258,3.33333
69.4327,3.66667
69.537,4
70.5409,1
70.6483,2
70.761,2.5
70.8725,3
70.9888,3.33333
71.1048,3.66667
71.2004,4
71.3032,4.25
71.4074,4.5
71.5088,4.75
71.614,5
71.7138,5.2
71.82,5.4
71.9365,5.6
72.0255,5.8
72.1341,6
72.236,6.16667
72.3373,6.33333
72.4435,6.5
72.5437,6.66667
72.6456,6.83333
72.78,7
72.8822,7.14286
73.8831,1
74.0044,2
74.127,3
74.2241,3.33333
74.3364,3.66667
74.44,4
74.5663,4.25
74.6705,4.5
74.7911,4.75
74.8917,5
74.9998,5.2
75.1,5.4
75.2064,5.6
75.315,5.8
75.4172,6
75.5199,6.16667
75.6238,6.33333
75.7304,6.5
76.7327,1
76.8482,2
77.849,1
77.9538,2
78.0599,2.5
79.0602,1
79.1648,2
79.2706,2.5
79.3703,3
79.4719,3.33333
79.5727,3.66667
79.6736,4
79.7799,4.25
80.7803,1
80.8852,2
80.9897,2.5
81.0926,3
81.1938,3.33333
81.2946,3.66667
82.2966,1
82.4016,2
83.4081,1
84.4224,1
84.531,2
84.6336,2.5
84.7353,3
84.84,3.33333
84.9431,3.66667
85.0538,4
85.1574,4.25
86.1577,1
86.2639,2
87.279,1
87.3848,2
87.5094,2.5
87.6141,3
87.7211,3.33333
87.8259,3.66667
87.9324,4
88.9443,1
89.0888,2
89.1986,2.5
89.3071,3
90.3076,1
90.4146,2
90.5271,2.5
90.6273,3
90.7349,3.33333
90.8502,3.66667
91.851,1
91.9599,2
92.093,2.5
92.2187,3
92.3218,3.33333
92.4356,3.66667
92.5419,4
92.643,4.25
92.7443,4.5
93.7485,1
93.8808,2
93.9949,2.5
94.098,3
94.2076,3.33333
95.212,1
95.3287,2
95.4502,2.5
96.4542,1
96.5719,2
96.6759,2.5
96.7842,3
96.8959,3.33333
97.8976,1
98.9058,1
99.0229,2
99.129,2.5
99.2319,3
99.339,3.33333
99.4342,3.66667
99.5424,4
99.6411,4.25
100.653,1
100.778,2
100.892,2.5
101.898,1
102.032,2
103.036,1
103.14,2
104.142,1
104.263,2
104.369,2.5
104.476,3
104.574,3.33333
105.577,1
105.686,2
106.689,1
106.835,2
106.941,2.5
107.054,3
107.158,3.33333
108.163,1
109.166,1
109.273,2
109.379,2.5
109.479,3
109.586,3.33333
109.687,3.66667
109.788,4
110.806,1
110.919,2
111.92,1
112.024,2
112.126,2.5
112.23,3
112.33,3.33333
112.432,3.66667
112.537,4
112.641,4.25
112.744,4.5
113.75,1
113.878,2
113.983,2.5
114.093,3
114.204,3.33333
115.206,1
116.218,1
116.333,2
116.437,2.5
116.539,3
